Mon Nov 29 05:06:08 EST 2021 | tT(mins): 683.624 |  f: 60 | RT(s): 603.61  | aRT(s): 322.972  maxRT(s): 618.31  | minRT(s):  70.130 
Mon Nov 29 05:09:00 EST 2021 | tT(mins): 686.496 |  f: 60 | RT(s): 171.617 | aRT(s): 321.795  maxRT(s): 618.31  | minRT(s):  70.130 
Mon Nov 29 05:19:04 EST 2021 | tT(mins): 696.557 |  f: 61 | RT(s): 603.324 | aRT(s): 323.980  maxRT(s): 618.31  | minRT(s):  70.130 
Mon Nov 29 05:29:07 EST 2021 | tT(mins): 706.599 |  f: 62 | RT(s): 602.97  | aRT(s): 326.122  maxRT(s): 618.31  | minRT(s):  70.130 
Mon Nov 29 05:39:12 EST 2021 | tT(mins): 716.689 |  f: 63 | RT(s): 604.580 | aRT(s): 328.254  maxRT(s): 618.31  | minRT(s):  70.130 
Mon Nov 29 05:49:16 EST 2021 | tT(mins): 726.757 |  f: 64 | RT(s): 603.305 | aRT(s): 330.344  maxRT(s): 618.31  | minRT(s):  70.130 
Mon Nov 29 05:50:40 EST 2021 | tT(mins): 728.169 |  f: 64 | RT(s):  84.580 | aRT(s): 328.497  maxRT(s): 618.31  | minRT(s):  70.130 
Mon Nov 29 06:00:42 EST 2021 | tT(mins): 738.195 |  f: 65 | RT(s): 601.450 | aRT(s): 330.535  maxRT(s): 618.31  | minRT(s):  70.130 
Mon Nov 29 06:10:47 EST 2021 | tT(mins): 748.262 |  f: 66 | RT(s): 603.358 | aRT(s): 332.561  maxRT(s): 618.31  | minRT(s):  70.130 
Mon Nov 29 06:20:51 EST 2021 | tT(mins): 758.336 |  f: 67 | RT(s): 603.598 | aRT(s): 334.560  maxRT(s): 618.31  | minRT(s):  70.130 
Mon Nov 29 06:30:57 EST 2021 | tT(mins): 768.440 |  f: 68 | RT(s): 605.476 | aRT(s): 336.543  maxRT(s): 618.31  | minRT(s):  70.130 
Mon Nov 29 06:41:03 EST 2021 | tT(mins): 778.537 |  f: 69 | RT(s): 604.791 | aRT(s): 338.494  maxRT(s): 618.31  | minRT(s):  70.130 
Mon Nov 29 06:42:31 EST 2021 | tT(mins): 780.12  |  f: 69 | RT(s):  88.240 | aRT(s): 336.696  maxRT(s): 618.31  | minRT(s):  70.130 
