Mon Oct 25 15:54:33 EDT 2021 | tT(mins):  12.260 |  f: 0 | RT(s):   6.917 | aRT(s):   6.687  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:54:44 EDT 2021 | tT(mins):  12.442 |  f: 0 | RT(s):  10.858 | aRT(s):   6.725  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:54:49 EDT 2021 | tT(mins):  12.528 |  f: 0 | RT(s):   5.105 | aRT(s):   6.711  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:54:54 EDT 2021 | tT(mins):  12.609 |  f: 0 | RT(s):   4.835 | aRT(s):   6.695  maxRT(s):  15.143 | minRT(s):   2.647 
Mon Oct 25 15:54:56 EDT 2021 | tT(mins):  12.653 |  f: 0 | RT(s):   2.645 | aRT(s):   6.659  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:55:02 EDT 2021 | tT(mins):  12.749 |  f: 0 | RT(s):   5.708 | aRT(s):   6.651  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:55:11 EDT 2021 | tT(mins):  12.901 |  f: 0 | RT(s):   9.88  | aRT(s):   6.673  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:55:19 EDT 2021 | tT(mins):  13.20  |  f: 0 | RT(s):   7.127 | aRT(s):   6.677  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:55:23 EDT 2021 | tT(mins):  13.100 |  f: 0 | RT(s):   4.766 | aRT(s):   6.661  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:55:29 EDT 2021 | tT(mins):  13.194 |  f: 0 | RT(s):   5.560 | aRT(s):   6.652  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:55:42 EDT 2021 | tT(mins):  13.410 |  f: 0 | RT(s):  12.923 | aRT(s):   6.705  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:55:49 EDT 2021 | tT(mins):  13.536 |  f: 0 | RT(s):   7.535 | aRT(s):   6.712  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:55:57 EDT 2021 | tT(mins):  13.654 |  f: 0 | RT(s):   7.77  | aRT(s):   6.715  maxRT(s):  15.143 | minRT(s):   2.645 
