Sun Nov 14 20:20:13 EST 2021 | tT(mins):   8.228 |  f: 0 | RT(s):   8.712 | aRT(s):   6.582  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:20:23 EST 2021 | tT(mins):   8.397 |  f: 0 | RT(s):  10.61  | aRT(s):   6.629  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:20:28 EST 2021 | tT(mins):   8.471 |  f: 0 | RT(s):   4.370 | aRT(s):   6.600  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:20:36 EST 2021 | tT(mins):   8.611 |  f: 0 | RT(s):   8.379 | aRT(s):   6.624  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:20:39 EST 2021 | tT(mins):   8.663 |  f: 0 | RT(s):   3.10  | aRT(s):   6.579  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:20:48 EST 2021 | tT(mins):   8.813 |  f: 0 | RT(s):   8.930 | aRT(s):   6.609  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:20:52 EST 2021 | tT(mins):   8.875 |  f: 0 | RT(s):   3.687 | aRT(s):   6.574  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:20:59 EST 2021 | tT(mins):   8.996 |  f: 0 | RT(s):   7.196 | aRT(s):   6.582  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:21:02 EST 2021 | tT(mins):   9.44  |  f: 0 | RT(s):   2.822 | aRT(s):   6.538  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:21:05 EST 2021 | tT(mins):   9.93  |  f: 0 | RT(s):   2.864 | aRT(s):   6.495  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:21:14 EST 2021 | tT(mins):   9.247 |  f: 0 | RT(s):   9.149 | aRT(s):   6.527  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:21:20 EST 2021 | tT(mins):   9.343 |  f: 0 | RT(s):   5.737 | aRT(s):   6.519  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:21:25 EST 2021 | tT(mins):   9.426 |  f: 0 | RT(s):   4.869 | aRT(s):   6.500  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:21:33 EST 2021 | tT(mins):   9.551 |  f: 0 | RT(s):   7.484 | aRT(s):   6.512  maxRT(s):  12.677 | minRT(s):   2.674 
Sun Nov 14 20:21:37 EST 2021 | tT(mins):   9.617 |  f: 0 | RT(s):   3.859 | aRT(s):   6.483  maxRT(s):  12.677 | minRT(s):   2.674 
